CATEGORY,FUEL,UTILITY,STATION,STATE,Latitude,Longitude,Name,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
HYDRO,HYDRO,KSEB,IDAMALAYAR HPS.,KERALA,10.207,76.713,Idamalayar Power House,75,26,14.92
HYDRO,HYDRO,KSEB,IDUKKI HPS.,KERALA,9.7884,76.859,Idukki Power Station,780,199,75.92
HYDRO,HYDRO,KSEB,KAKKAD HPS.,KERALA,9.327,76.971,Kakkad Hydro Electric Power Station,50,12,6.14
THERMAL,DIESEL,KSEB,KOZHIKODE DG,KERALA,11.204,75.806,KSEB Diesel Power Plant,96,6,0
HYDRO,HYDRO,KSEB,KUTTIYADI ADDL. EXTN. HPS,KERALA,11.548,75.898515,Kakkayam KSEB Substation,100,0,11.15
HYDRO,HYDRO,KSEB,KUTTIYADI HPS.,KERALA,11.547,75.893,"Kuttiadi Tailrace Power House,Kakkayam",125,38,20.49
HYDRO,HYDRO,KSEB,LOWER PERIYAR HPS.,KERALA,9.962,76.957,Lower Periyar Dam,180,17,3.58
HYDRO,HYDRO,KSEB,NARIAMANGLAM HPS,KERALA,9.953,76.9794,Neriamangalam Hydro Electric Power Station,70,14,3.63
HYDRO,HYDRO,KSEB,PALLIVASAL HPS.,KERALA,10.0308,77.0545,Pallivasal Powerhouse,37.5,14,6.19
HYDRO,HYDRO,KSEB,PANNIAR HPS.,KERALA,9.9732,77.0278,Panniar Hydro Electric Project ,30,10,1.64
HYDRO,HYDRO,KSEB,PORINGALKUTTU HPS.,KERALA,10.309,76.617,Poringalkuthu Hydroelectric Power Station,32,8,5.73
THERMAL,NATURAL GAS,NTPC Ltd.,R. GANDHI CCPP (Liq.),KERALA,9.142,76.2549,Rajiv Gandhi Combined Cycle Power Plant,359.58,47,0
HYDRO,HYDRO,KSEB,SABARIGIRI HPS.,KERALA,9.309,77.0727,Sabarigiri Hydroelectric Power Plant India,300,79,40.69
HYDRO,HYDRO,KSEB,SENGULAM HPS.,KERALA,9.97609,77.0306,Sengulam Hydro Electric Project,48,8,2.6
HYDRO,HYDRO,KSEB,SHOLAYAR HPS.,KERALA,10.3045,76.7304,Sholayar I Hydroelectric Power House,54,24,14.91
THERMAL,COAL,MPPGCL,AMARKANTAK EXT TPS,MADHYA PRADESH,23.162,81.636,Amarkantak Thermal Power Station,210,146,154.19
THERMAL,COAL,MBPMPL,ANUPPUR TPP,MADHYA PRADESH,23.063,81.789,Home service,1200,521,373.19
